Attraction,Themes,Tour Destination,City
Rock and Roll Hall of Fame,"Museum,",Rock and Roll Hall of Fame,Cleveland
Rockefeller Centre,,Rockefeller Centre,New York City
Rockford,"Museum,",Rockford,Chicago
Rockland,"Museum,",Rockland,Portland
Rocklands Bird Sanctuary,,Rocklands Bird Sanctuary,Montego Bay
Rocky Mountain National Park,"National Park,",Rocky Mountain National Park,Denver
Roger Williams Park Zoo,"Museum,Water Sports,",Roger Williams Park Zoo,Providence
Roman Baths,,Roman Baths,Bath
Roman Forum,"Museum,",Roman Forum,Thessaloniki
Roman Forum (Foro Romano),,Roman Forum (Foro Romano),Rome
Roman Theatre,"Museum,",Roman Theatre,Amman
Romantic Road,"Museum,",Romantic Road,Munich
Ronda,,Ronda,Seville
Rorkes Drift,"Museum,",Rorkes Drift,Battlefields
Rose Hall,,Rose Hall,Montego Bay
Rosenborg Castle,"Museum,",Rosenborg Castle,Copenhagen
Roskilde Cathedral,"Museum,World Heritage Site,",Roskilde Cathedral,Roskilde
Rosslyn Chapel,,Rosslyn Chapel,Edinburgh
Roswell,"Museum,",Roswell,Albuquerque
Rothenburg,"Museum,",Rothenburg,The Romantic Road
Rotorua,,Rotorua,North Island
Rouen,"Museum,",Rouen,Normandy
Route 66 Sign,,Route 66 Sign,Chicago
Royal Armouries Museum,"Museum,",Royal Armouries Museum,Leeds
Royal Barges National Museum,"Museum,",Royal Barges National Museum,Bangkok
Royal Botanic Garden,,Royal Botanic Garden,Edinburgh
Royal Botanic Garden,"Museum,",Royal Botanic Garden,Madrid
Royal Botanic Gardens,,Royal Botanic Gardens,Sydney
Royal Botanical Gardens of Pamplemousses,,Royal Botanical Gardens of Pamplemousses,Port Louis
Royal Chitwan National Park,"National Park,Outdoor Activities,",Royal Chitwan National Park,Kathmandu
Royal Djurgården,"Museum,",Royal Djurgården,Stockholm
Royal Grand Palace,,Royal Grand Palace,Bangkok
Royal Mile,,Royal Mile,Edinburgh
Royal Museum of Central Africa,"Museum,",Royal Museum of Central Africa,Brussels
Royal Museums of Fine Arts,"Museum,",Royal Museums of Fine Arts,Brussels
Royal Ontario Museum,"Museum,",Royal Ontario Museum,Toronto
Royal Palace,,Royal Palace,Belgrade
Royal Palace,"Museum,",Royal Palace,Budapest
Royal Palace,,Royal Palace,Madrid
Royal Palace (Haw Kham),"Museum,",Royal Palace (Haw Kham),Luang Prabang
Royal Palace and Gamla Stan,"Museum,",Royal Palace and Gamla Stan,Stockholm
Royal Pavilion,,Royal Pavilion,Brighton
Royal Tombs,,Royal Tombs,Hue
Royal Warship Vasa,"Museum,",Royal Warship Vasa,Stockholm
Royal Yacht Britannia,,Royal Yacht Britannia,Edinburgh
Rum Point,"Water Sports,",Rum Point,Grand Cayman
Rural Life Museum and Windrush Gardens,"Museum,",Rural Life Museum and Windrush Gardens,Baton Rouge
Russell C. Davis Planetarium,,Russell C. Davis Planetarium,Jackson Mississippi
Russell Cave National Monument,"National Park,",Russell Cave National Monument,Birmingham Alabama
Russian Market,,Russian Market,Phnom Penh
Ryman Auditorium,"Museum,",Ryman Auditorium,Nashville
Sa Pa and Bac Ha,,Sa Pa and Bac Ha,Hanoi
Saadian Tombs,,Saadian Tombs,Marrakech
SAB World of Beer,,SAB World of Beer,Johannesburg
Sabino Canyon,"Outdoor Activities,",Sabino Canyon,Tucson
Sacred Monkey Forest of Padangtegal,,Sacred Monkey Forest of Padangtegal,Bali
Sacsayhuamán,,Sacsayhuamán,Cuzco
Safari Park,"Outdoor Activities,Water Sports,",Safari Park,Madrid
Saint Pauls Cathedral,,Saint Pauls Cathedral,Abidjan
Saint Rémy de Provence,,Saint Rémy de Provence,Provence
Saint-Gilles-les-Bains,"Water Sports,",Saint-Gilles-les-Bains,Saint-Denis
Sala Silver Mine,"Museum,",Sala Silver Mine,Stockholm
Saladin Citadel (Al-Qalaa),"Museum,",Saladin Citadel (Al-Qalaa),Cairo
Salalah,"Water Sports,",Salalah,Muscat
Salar de Uyuni,,Salar de Uyuni,Potosi
Saldanha,"Water Sports,",Saldanha,West Coast
Salima,,Salima,Lake Malawi
Salisbury Cathedral,,Salisbury Cathedral,Southwest England
Salvador Dali Museum House,"Museum,",Salvador Dali Museum House,Costa Brava
Salzkammergut Lakes,"Outdoor Activities,World Heritage Site,",Salzkammergut Lakes,Salzburg
Sam Adams Brewery,,Sam Adams Brewery,Boston
Sam Houston Historical Park,,Sam Houston Historical Park,Houston
Samaipata,"World Heritage Site,",Samaipata,Santa Cruz de la Sierra
Samal Island,,Samal Island,Davao
Samana Peninsula,,Samana Peninsula,Amber Coast
Samos Beaches,,Samos Beaches,Samos
San Agustin Church,"Museum,World Heritage Site,",San Agustin Church,Manila
San Angel,"Museum,",San Angel,Mexico City
San Antonio de la Florida,"Museum,",San Antonio de la Florida,Madrid
San Diego Beaches,"Water Sports,",San Diego Beaches,San Diego
San Diego Wine Country,,San Diego Wine Country,San Diego
San Diego Zoo and Safari Park,"Outdoor Activities,Sky Activities,",San Diego Zoo and Safari Park,San Diego
San Francisco MOMA,"Museum,",San Francisco MOMA,San Francisco
San Francisco Plantation,"Museum,",San Francisco Plantation,Baton Rouge
San Germán,"Museum,",San Germán,Ponce
San Gimignano,,San Gimignano,Tuscany
San Juan and the Gulf Islands,,San Juan and the Gulf Islands,Seattle
San Juan Chamula and Zinacantan villages,,San Juan Chamula and Zinacantan villages,San Cristobal de las Casas
San Juan Islands,,San Juan Islands,Vancouver
San Pedro La Laguna,"Outdoor Activities,",San Pedro La Laguna,Lake Atitlan
San Sebastian,"Museum,Water Sports,",San Sebastian,Bilbao
Sancti Spiritus,,Sancti Spiritus,Trinidad
Sanctuary Cove,"Water Sports,",Sanctuary Cove,"Gold Coast, Queensland"
Sandankyo Gorge,,Sandankyo Gorge,Hiroshima
Sandia Peak Tramway,,Sandia Peak Tramway,Albuquerque
Sandy Point,"National Park,Water Sports,",Sandy Point,St Kitts
Sanjusangen-do,,Sanjusangen-do,Kyoto
Santa Barbara,,Santa Barbara,Central Coast
Santa Catalina Monastery,,Santa Catalina Monastery,Arequipa
Santa Clara,"Museum,",Santa Clara,Trinidad
Santa Claus Village,,Santa Claus Village,Helsinki
Santa Croce,,Santa Croce,Florence
Santa Cruz,,Santa Cruz,Central Coast
Santa Cruz,,Santa Cruz,Seville
Santa Cruz Beach Boardwalk,,Santa Cruz Beach Boardwalk,Central Coast
Santa Eulalia del Rio,"Museum,",Santa Eulalia del Rio,Ibiza
Santa Ifigenia Cemetery,,Santa Ifigenia Cemetery,Santiago de Cuba
Santa Maria,,Santa Maria,The Azores
Santa Maria delle Grazie,"World Heritage Site,",Santa Maria delle Grazie,Milan
Santa Teresa,,Santa Teresa,Rio de Janeiro
Santillana del Mar,,Santillana del Mar,Bilbao
Santo Domingo,,Santo Domingo,San Cristobal de las Casas
Santorini Beaches,,Santorini Beaches,Santorini
Santorini Wineries,"Museum,",Santorini Wineries,Santorini
Santuari de Lluc,,Santuari de Lluc,Mallorca
Sao Jorge,"Outdoor Activities,",Sao Jorge,The Azores
Sao Vicente Caves,,Sao Vicente Caves,Madeira
Sapporo Beer Museum,"Museum,",Sapporo Beer Museum,Sapporo
Saronic Islands,,Saronic Islands,Athens
Sassi de Matera,"Water Sports,World Heritage Site,",Sassi de Matera,Naples
Saugatuck-Douglas,"Outdoor Activities,Water Sports,",Saugatuck-Douglas,Detroit
Saumur,,Saumur,Loire Valley
Sausalito,,Sausalito,San Francisco
Savannah History Museum,"Museum,",Savannah History Museum,Savannah
Scandola Nature Reserve,"World Heritage Site,",Scandola Nature Reserve,Corsica
Scenic Railway,,Scenic Railway,St Kitts
Schloss Kleßheim Palace,,Schloss Kleßheim Palace,Salzburg
Schönbrunn Palace,"Museum,",Schönbrunn Palace,Vienna
School of St Roch,,School of St Roch,Venice
Scotch Whisky Experience,,Scotch Whisky Experience,Edinburgh
Sé de Lisboa,,Sé de Lisboa,Lisbon
Sea World,,Sea World,Brisbane
Seal Island,,Seal Island,Cape Town
Sears Tower (Willis Tower),,Sears Tower (Willis Tower),Chicago
Seattle Aquarium,,Seattle Aquarium,Seattle
Seattle Art Museum,"Museum,",Seattle Art Museum,Seattle
Seattle Space Needle,,Seattle Space Needle,Seattle
SeaWorld,,SeaWorld,San Diego
SeaWorld Aquatica,,SeaWorld Aquatica,Orlando
SeaWorld Orlando,,SeaWorld Orlando,Orlando
Segovia,"World Heritage Site,",Segovia,Madrid
Selfridges Store,,Selfridges Store,Birmingham
Seminole Reservation,"Museum,",Seminole Reservation,Gold Coast
Senate Square,,Senate Square,Helsinki
Senckenberg Museum of Natural History,"Museum,World Heritage Site,",Senckenberg Museum of Natural History,Frankfurt
Senggigi,"Outdoor Activities,Water Sports,",Senggigi,Lombok
Senso-ji Temple,,Senso-ji Temple,Tokyo
Sentosa Island,,Sentosa Island,Singapore
Sepilok Forest Reserve and Orangutan Sanctuary,,Sepilok Forest Reserve and Orangutan Sanctuary,Sabah
Serengeti National Park,"National Park,",Serengeti National Park,National Parks and Reserves
Serra de Estrela,"Outdoor Activities,",Serra de Estrela,Porto
Setúbal,,Setúbal,Lisbon
Seurasaari Open Air Museum,"Museum,",Seurasaari Open Air Museum,Helsinki
Seven Mile Beach,,Seven Mile Beach,Grand Cayman
Seven Mile Beach,,Seven Mile Beach,Negril
Seville Cathedral,"World Heritage Site,",Seville Cathedral,Seville
Sex Museum Amsterdam,"Museum,",Sex Museum Amsterdam,Amsterdam
Seychelles National Museum of History,"Museum,",Seychelles National Museum of History,Mahe
Shaanxi Provincial History Museum,"Museum,",Shaanxi Provincial History Museum,Xi An
Shakespeares Globe Theatre,,Shakespeares Globe Theatre,London
Shamwari Game Reserve,,Shamwari Game Reserve,Port Elizabeth
Shanghai Museum,"Museum,",Shanghai Museum,Shanghai
Sharjah Desert Park,"Museum,",Sharjah Desert Park,Sharjah
Sharjah Heritage District,"Museum,",Sharjah Heritage District,Sharjah
Shedd Aquarium,,Shedd Aquarium,Chicago
Sheikh Saeed Al-Maktoum Museum,"Museum,",Sheikh Saeed Al-Maktoum Museum,Dubai
Shell Factory and Nature Park,,Shell Factory and Nature Park,Gulf Coast
Shenandoah National Park,"National Park,Outdoor Activities,",Shenandoah National Park,Richmond
Sherry Bodegas,,Sherry Bodegas,Seville
Sherwood Forest,,Sherwood Forest,Nottingham
Shilin Night Market,"Food Tour,",Shilin Night Market,Taipei
Shisha Bars,,Shisha Bars,Doha
Shofukuji Temple,,Shofukuji Temple,Fukuoka
Shooting Ranges,,Shooting Ranges,Phnom Penh
Shwedagon Pagoda,,Shwedagon Pagoda,Yangon
Si Phan Don,"Outdoor Activities,Water Sports,",Si Phan Don,Vientiane
Siam Ocean World,,Siam Ocean World,Bangkok
Siam Park,,Siam Park,Tenerife
Sibenik,"National Park,World Heritage Site,",Sibenik,Split
Sidemen Valley,"Outdoor Activities,Water Sports,",Sidemen Valley,Bali
Sidon (Saida),"Museum,",Sidon (Saida),Beirut
Siena,"Museum,World Heritage Site,",Siena,Tuscany
Sighisoara,"World Heritage Site,",Sighisoara,Transylvania
Sigiriya,"Museum,",Sigiriya,Cultural Triangle
Sigulda,"National Park,Outdoor Activities,",Sigulda,Riga
Sihanoukville,"National Park,Water Sports,",Sihanoukville,Phnom Penh
Silk Exchange (Lonja de la Seda),"World Heritage Site,",Silk Exchange (Lonja de la Seda),Valencia
Simartin Museum,"Museum,",Simartin Museum,Philipsburg
Similan Islands National Park,"Water Sports,",Similan Islands National Park,Phuket
Simonstown and Boulders Beach,"Museum,",Simonstown and Boulders Beach,Cape Town
Singapore Art Museum,"Museum,",Singapore Art Museum,Singapore
Singapore Botanical Gardens,,Singapore Botanical Gardens,Singapore
Singapore Discovery Centre,,Singapore Discovery Centre,Singapore
Singapore Flyer,,Singapore Flyer,Singapore
Singapore Zoological Gardens,"Outdoor Activities,",Singapore Zoological Gardens,Singapore
Sintra,,Sintra,Lisbon
Sipadan Island,,Sipadan Island,Sabah
Six Flags Discovery Kingdom,,Six Flags Discovery Kingdom,San Francisco
Six Flags Fiesta Texas,,Six Flags Fiesta Texas,San Antonio
Six Flags Great America,,Six Flags Great America,Chicago
Six Flags Magic Mountain,,Six Flags Magic Mountain,Los Angeles
Six Flags Over Georgia,,Six Flags Over Georgia,Atlanta
Six Flags Over Texas,,Six Flags Over Texas,Dallas-Fort Worth
Sixth Floor Museum,"Museum,",Sixth Floor Museum,Dallas-Fort Worth
Skadarlija Street,,Skadarlija Street,Belgrade
Skansen,"Museum,",Skansen,Stockholm
Skeleton Coast National Park,"National Park,Water Sports,",Skeleton Coast National Park,The Namib Desert
Ski Dubai,,Ski Dubai,Dubai
Ski resorts,,Ski resorts,Denver
Skopelos Beaches,,Skopelos Beaches,Skopelos
Skyline Gondola,,Skyline Gondola,Queenstown
Skyrail,,Skyrail,Cairns
Sleeping Giant Provincial Park,,Sleeping Giant Provincial Park,Lake Superior and Thunder Bay
Smithsonian Institution,"Museum,",Smithsonian Institution,Washington DC
Smugglers Cove,,Smugglers Cove,Tortola
Snake Farm (Thai Red Cross Farm),,Snake Farm (Thai Red Cross Farm),Bangkok
Snoqualmie Falls,"Museum,Outdoor Activities,",Snoqualmie Falls,Cascade Mountain Range
Snowdonia National Park,"National Park,",Snowdonia National Park,Northern Wales
Snowy Mountains,,Snowy Mountains,Sydney
Sognefjord,"National Park,Outdoor Activities,Water Sports,World Heritage Site,",Sognefjord,Bergen
Solar Vinho do Porto,"Museum,",Solar Vinho do Porto,Porto
Solitude,,Solitude,Salt Lake City
Soller,"Museum,",Soller,Mallorca
Solunto,"Museum,",Solunto,Sicily
Somers Garden,,Somers Garden,Saint George
Somers Wharf,"Museum,",Somers Wharf,Saint George
Sony ExploraScience,"Museum,Outdoor Activities,",Sony ExploraScience,Beijing
Sopot,"Museum,",Sopot,Gdansk
Sorolla Museum,"Museum,",Sorolla Museum,Madrid
Sossusvlei,"Water Sports,",Sossusvlei,The Namib Desert
Sosua,"Museum,",Sosua,Amber Coast
Soufriere,,Soufriere,Castries
Souillac,,Souillac,Port Louis
Souks,,Souks,Marrakech
Souq Al Alawi,,Souq Al Alawi,Jeddah
South African Museum and Planetarium,"Museum,",South African Museum and Planetarium,Cape Town
South Bank,"Museum,",South Bank,Brisbane
South Carolina Aquarium,,South Carolina Aquarium,Charleston
South China Botanical Garden,,South China Botanical Garden,Guangzhou
Southwest Florida Museum of History,"Museum,",Southwest Florida Museum of History,Gulf Coast
Soweto,"Food Tour,Museum,",Soweto,Johannesburg
Spanish Governors Palace,,Spanish Governors Palace,San Antonio
Spanish Monastery,,Spanish Monastery,Miami
Spanish Riding School,"Museum,",Spanish Riding School,Vienna
Spanish Town,"Museum,",Spanish Town,Kingston
Sparta,"Museum,",Sparta,Peloponnese Peninsula
Speakers Corner at Hyde Park,"Outdoor Activities,",Speakers Corner at Hyde Park,London
Speke Hall,,Speke Hall,Liverpool
Spetses,"Outdoor Activities,",Spetses,Saronic Gulf Islands
Spier Wine Estate,"Outdoor Activities,",Spier Wine Estate,Cape Winelands
Split Rock Lighthouse,"Outdoor Activities,",Split Rock Lighthouse,Duluth
Spoleto,,Spoleto,Umbria
Sponza Palace,"Museum,",Sponza Palace,Dubrovnik
St Andrews,"Museum,",St Andrews,Edinburgh
St Anne Marine National Park,"National Park,",St Anne Marine National Park,Mahe
St Annes Cathedral,,St Annes Cathedral,Belfast
St Bartholomew Cathedral,"Museum,",St Bartholomew Cathedral,Frankfurt
St Basils Cathedral,"Museum,",St Basils Cathedral,Moscow
St Croix SCUBA,"Water Sports,",St Croix SCUBA,St Croix
St Fagans National History Museum,"Museum,World Heritage Site,",St Fagans National History Museum,Cardiff
St George Rotunda,"Museum,World Heritage Site,",St George Rotunda,Sofia
St Georges Cathedral,"Museum,",St Georges Cathedral,Addis Ababa
St Georges Cathedral,,St Georges Cathedral,Cape Town
St Georges Market,,St Georges Market,Belfast
St Georges Park,,St Georges Park,Port Elizabeth
St Isaacs Cathedral,,St Isaacs Cathedral,St Petersburg
St John’s Cathedral (Agios Ioannis),,St John’s Cathedral (Agios Ioannis),Nicosia
St Johns Co-Cathedral,,St Johns Co-Cathedral,Valletta
St Johns Episcopal Church,,St Johns Episcopal Church,Richmond
St Joseph’s Oratory,,St Joseph’s Oratory,Montreal
St Louis City Museum,"Museum,",St Louis City Museum,St Louis
St Maarten Zoo,,St Maarten Zoo,Philipsburg
St Marks Square,"Museum,",St Marks Square,Venice
St Marys Church,,St Marys Church,Valletta
St Marys Church (Mariakirken),,St Marys Church (Mariakirken),Bergen
St Michaelis Church,,St Michaelis Church,Hamburg
St Patricks Cathedral,,St Patricks Cathedral,New York City
St Pauls Cathedral,,St Pauls Cathedral,London
St Peters Abbey,,St Peters Abbey,Salzburg
St Peters Basilica (Basilica di San Pietro),,St Peters Basilica (Basilica di San Pietro),Rome
St Peters Cathedral,,St Peters Cathedral,Geneva
St Peters Church,"Museum,",St Peters Church,Saint George
St Sernin Basilica,,St Sernin Basilica,Toulouse
St Sophia Cathedral,"World Heritage Site,",St Sophia Cathedral,Kiev
St Stephen’s Cathedral,,St Stephen’s Cathedral,Vienna
St Thomas Skyride,,St Thomas Skyride,St Thomas
St Tropez and Surrounds,,St Tropez and Surrounds,Cote d Azur
St Vitus Cathedral,,St Vitus Cathedral,Prague
St. Johns Cathedral,,St. Johns Cathedral,St Johns Antigua
St. Patricks Cathedral,,St. Patricks Cathedral,Dublin
St. Sofia Church,,St. Sofia Church,Sofia
Städel Gallery,"Museum,",Städel Gallery,Frankfurt
Stanley,"Museum,Water Sports,",Stanley,Hong Kong City
Stanley Park,,Stanley Park,Vancouver
Star Beach Water Park,"Outdoor Activities,Water Sports,",Star Beach Water Park,Corfu
State Capitol,,State Capitol,Providence
Staten Island Ferry,,Staten Island Ferry,New York City
Statue Square,,Statue Square,Hong Kong City
Stavropoleos Church and Monastery,,Stavropoleos Church and Monastery,Bucharest
Stavrovouni Monastery,,Stavrovouni Monastery,Larnaca
Stax Museum of American Soul Music,"Museum,",Stax Museum of American Soul Music,Memphis
Stedelijk Museum of Modern Art,"Museum,",Stedelijk Museum of Modern Art,Amsterdam
Stellenbosch,"Museum,",Stellenbosch,Cape Winelands
Stingray City and Sandbar,,Stingray City and Sandbar,Grand Cayman
Stirling Castle,,Stirling Castle,Edinburgh
Stockholm Archipelago,,Stockholm Archipelago,Stockholm
Stockholm City Hall,,Stockholm City Hall,Stockholm
Stockyards City,,Stockyards City,Oklahoma City
Stone Forest,"World Heritage Site,",Stone Forest,Kunming
Stone Mountain Park,"Outdoor Activities,",Stone Mountain Park,Atlanta
Stonehenge,,Stonehenge,Southwest England
Story Bridge,,Story Bridge,Brisbane
Stradun,,Stradun,Dubrovnik
Strasbourg,"Museum,World Heritage Site,",Strasbourg,Alsace Lorraine
Strategic Air and Space Museum,"Museum,",Strategic Air and Space Museum,Omaha
Stratford-Upon-Avon,,Stratford-Upon-Avon,Oxford
Subic Bay Freeport Zone,"Outdoor Activities,Water Sports,",Subic Bay Freeport Zone,Manila
Sudeley Castle,,Sudeley Castle,The Cotswolds
Sugar Loaf,,Sugar Loaf,Rio de Janeiro
Sultan Qaboos Grand Mosque,,Sultan Qaboos Grand Mosque,Muscat
Šumava National Park,,Šumava National Park,Prague
Summer Palace,"World Heritage Site,",Summer Palace,Beijing
Sun Studio,"Museum,",Sun Studio,Memphis
Sungbos Eredo,,Sungbos Eredo,Lagos
Sunken Palace,,Sunken Palace,Istanbul
Suomenlinna Fortress,"Museum,World Heritage Site,",Suomenlinna Fortress,Helsinki
Surfers Paradise,"Water Sports,",Surfers Paradise,"Gold Coast, Queensland"
Surfing in Oahu,"Water Sports,",Surfing in Oahu,Oahu
Swakopmund,"Outdoor Activities,Sky Activities,",Swakopmund,The Namib Desert
Swarovski Crystal World,"Museum,",Swarovski Crystal World,Salzburg
Swayambhunath Stupa,"World Heritage Site,",Swayambhunath Stupa,Kathmandu
Swiss Alps,"Outdoor Activities,",Swiss Alps,Zurich
Swiss National Museum,"Museum,",Swiss National Museum,Zurich
Sydney Beaches,"Water Sports,",Sydney Beaches,Sydney
Sydney Opera House,,Sydney Opera House,Sydney
Sydney Tower,,Sydney Tower,Sydney
Sylt,"Outdoor Activities,",Sylt,Hamburg
Syntagma Square,"Museum,",Syntagma Square,Athens
Syracuse,,Syracuse,Sicily
Szentendre,"Museum,",Szentendre,The Danube Bend
Szépasszony Valley (Valley of the Pretty Woman),,Szépasszony Valley (Valley of the Pretty Woman),Eger
Tabernas,,Tabernas,Costa Almeria
Table Mountain,,Table Mountain,Cape Town
Tagaytay City,"Outdoor Activities,Water Sports,",Tagaytay City,Manila
Taif,"Outdoor Activities,",Taif,Jeddah
Taipei 101,,Taipei 101,Taipei
Taipei Zoo,,Taipei Zoo,Taipei
Taj Mahal,,Taj Mahal,Agra
Tala Game Reserve,"Outdoor Activities,",Tala Game Reserve,Durban
Talat Sao (Morning Market),,Talat Sao (Morning Market),Vientiane
Taliesin West,,Taliesin West,Phoenix
Talladega Superspeedway,"Museum,",Talladega Superspeedway,Birmingham Alabama
Tallahassee,"Museum,",Tallahassee,Pensacola
Tallinn Botanical Gardens,,Tallinn Botanical Gardens,Tallinn
Tallinn Zoo,,Tallinn Zoo,Tallinn
Talloires,"Outdoor Activities,",Talloires,French Alps
Taman Negara National Park,"Outdoor Activities,Water Sports,",Taman Negara National Park,Kuala Lumpur
Tamassos,"Museum,",Tamassos,Nicosia
Tamborine Mountain,"National Park,",Tamborine Mountain,"Gold Coast, Queensland"
Tampa Museum of Art,"Museum,",Tampa Museum of Art,Tampa
Tanah Lot,,Tanah Lot,Bali
Tangier American Legation Museum,"Museum,",Tangier American Legation Museum,Tangier
Tanneries,,Tanneries,Fez
Taormina,,Taormina,Sicily
Taos,"Museum,Outdoor Activities,Water Sports,",Taos,Santa Fe
Taranaki,"Water Sports,",Taranaki,North Island
Target Field,,Target Field,Minneapolis-St Paul
Tarragona,"Museum,",Tarragona,Costa Dorada
Tarrytown,,Tarrytown,New York City
Tashi Lhunpo Monastery,,Tashi Lhunpo Monastery,Tibet
Tate Liverpool,"Museum,",Tate Liverpool,Liverpool
Tate Modern,"Museum,",Tate Modern,London
Te Anau,,Te Anau,Fjordland
Te Papa Museum,"Museum,Outdoor Activities,",Te Papa Museum,Wellington
Teatro Colon,,Teatro Colon,Buenos Aires
Teide National Park,"National Park,World Heritage Site,",Teide National Park,Tenerife
Tel Aviv Museum of Art,"Museum,",Tel Aviv Museum of Art,Tel Aviv
Telfair Museum of Art,"Museum,",Telfair Museum of Art,Savannah
Temple Bar District,,Temple Bar District,Dublin
Temple Mount (Al-Haram al-Sharif),"Museum,",Temple Mount (Al-Haram al-Sharif),Jerusalem
Temple of Augustus,,Temple of Augustus,Ankara
Temple of Hera,"Museum,",Temple of Hera,Samos
Temple of Karnak,,Temple of Karnak,The Nile Valley
Temple of Literature (Van Mieu),,Temple of Literature (Van Mieu),Hanoi
Temple of Saint Sava,,Temple of Saint Sava,Belgrade
Temple of the Golden Buddha (Wat Traimit),,Temple of the Golden Buddha (Wat Traimit),Bangkok
Temple of the Reclining Buddha (Wat Pho),"World Heritage Site,",Temple of the Reclining Buddha (Wat Pho),Bangkok
Temple of the Six Banyan Trees,,Temple of the Six Banyan Trees,Guangzhou
Temple Square,,Temple Square,Salt Lake City
Temples of Angkor,"Sky Activities,",Temples of Angkor,Siem Reap
Temples of Baalbek,"World Heritage Site,",Temples of Baalbek,Beirut
Templo Mayor,"Museum,",Templo Mayor,Mexico City
Temppeliaukio Church,,Temppeliaukio Church,Helsinki
Ten Thousand Buddhas Monastery,,Ten Thousand Buddhas Monastery,Hong Kong City
Tenerife Beaches,,Tenerife Beaches,Tenerife
Tennant Creek,,Tennant Creek,Alice Springs
Tennessee State Museum,"Museum,",Tennessee State Museum,Nashville
Teotihuacan,"Museum,World Heritage Site,",Teotihuacan,Mexico City
Terceira,"World Heritage Site,",Terceira,The Azores
Terra Mitica,,Terra Mitica,Costa Blanca
Texas State Capitol,,Texas State Capitol,Austin
Thackray Museum,"Museum,",Thackray Museum,Leeds
Thalang National Museum,"Museum,",Thalang National Museum,Phuket
Thassos Beaches,,Thassos Beaches,Thassos
That Luang (Royal Stupa),"Water Sports,",That Luang (Royal Stupa),Vientiane
The Alamo,,The Alamo,San Antonio
The Albertina,"Museum,",The Albertina,Vienna
The Apartheid Museum,"Museum,",The Apartheid Museum,Johannesburg
The Backwaters of Kerala,,The Backwaters of Kerala,Kerala
The Bargello (Museo Nazionale del Bargello),"Museum,",The Bargello (Museo Nazionale del Bargello),Florence
The BAT Centre,"Museum,",The BAT Centre,Durban
The Beaches,"National Park,Water Sports,",The Beaches,Antigua
The Beijing National Stadium,,The Beijing National Stadium,Beijing
The Bund,,The Bund,Shanghai
The Cactus Garden,,The Cactus Garden,Lanzarote
The Castle District,"Museum,",The Castle District,Prague
The Cederberg,"Outdoor Activities,",The Cederberg,West Coast
The Chocolate Hills,"World Heritage Site,",The Chocolate Hills,Cebu
The Citadel,,The Citadel,Hue
The Citadel,"Museum,",The Citadel,Gozo
The Citadel of Chellah,,The Citadel of Chellah,Rabat
The Colca Canyon,"Outdoor Activities,",The Colca Canyon,Arequipa
The Colosseum,,The Colosseum,Rome
The Corniche,,The Corniche,Beirut
The Dead Sea,"Water Sports,",The Dead Sea,Jerusalem
The Dead Sea,"Water Sports,",The Dead Sea,Amman
The Delaware Contemporary,"Museum,",The Delaware Contemporary,Wilmington
The Dutch Resistance Museum (Verzetsmuseum),"Museum,",The Dutch Resistance Museum (Verzetsmuseum),Amsterdam
The Eden Project,,The Eden Project,Southwest England
The English Market,,The English Market,Cork
The Esplanade,,The Esplanade,Cairns
The Fairy Tale Road,"Museum,",The Fairy Tale Road,Frankfurt
The Fitzwilliam Museum,"Museum,",The Fitzwilliam Museum,Cambridge
The Fortress,,The Fortress,Luxembourg-Ville
The Fox Theatre,,The Fox Theatre,Atlanta
The Frick Collection,"Museum,",The Frick Collection,New York City
The Gabba,,The Gabba,Brisbane
The Giraffe Centre,,The Giraffe Centre,Nairobi
The Golden Mile,"Museum,Water Sports,",The Golden Mile,Durban
The Gorge Amphitheater,,The Gorge Amphitheater,Cascade Mountain Range
The Governors Mansion,,The Governors Mansion,Jackson Mississippi
The Grand Canal (Canalazzo),,The Grand Canal (Canalazzo),Venice
The Grand Canyon,"Museum,National Park,Outdoor Activities,Sky Activities,",The Grand Canyon,Phoenix
The Grand Canyon,"National Park,Sky Activities,",The Grand Canyon,Las Vegas
The Great Synagogue and Jewish Museum,"Museum,",The Great Synagogue and Jewish Museum,Budapest
The Guggenheim Museum,"Museum,",The Guggenheim Museum,New York City
The Henry Ford Museum,"Museum,",The Henry Ford Museum,Detroit
The Holy Land Experience,,The Holy Land Experience,Orlando
The House on the Rock,,The House on the Rock,Milwaukee
The Hunley,,The Hunley,Charleston
The Ibiza Express,,The Ibiza Express,Ibiza
The Israel Museum,"Museum,",The Israel Museum,Jerusalem
The Jewish Museum,"Museum,",The Jewish Museum,Prague
The King Hassan II Mosque,,The King Hassan II Mosque,Casablanca
The Kon-Tiki Museum,"Museum,",The Kon-Tiki Museum,Oslo
The Kremlin,"Museum,",The Kremlin,Moscow
The Little Mermaid Statue,,The Little Mermaid Statue,Copenhagen
The Luxor,,The Luxor,Las Vegas
The Medes Islands,"Water Sports,",The Medes Islands,Costa Brava
The Meeting of the Waters,,The Meeting of the Waters,The Amazon
The Mirage,,The Mirage,Las Vegas
The Mission San Xavier del Bac,"Museum,",The Mission San Xavier del Bac,Tucson
The Mosaics of Paphos,,The Mosaics of Paphos,Paphos
The Museum of Childhood,"Museum,",The Museum of Childhood,Edinburgh
